row_id,rod_id,rod_tier,rod_element,bait_used,current_wonder,expected_creature_pool,expected_catch,expected_miss_reason,notes
1,basic,basic,any,bait_basic,0,,,,
2,basic,basic,any,bait_basic,25,,,,
3,basic,basic,any,bait_basic,45,,,,
4,basic,basic,any,bait_basic,65,,,,
5,basic,basic,any,bait_basic,90,,,,
6,basic,basic,any,bait_mid,0,,,,
7,basic,basic,any,bait_mid,25,,,,
8,basic,basic,any,bait_mid,45,,,,
9,basic,basic,any,bait_mid,65,,,,
10,basic,basic,any,bait_mid,90,,,,
11,basic,basic,any,bait_premium,0,,,,
12,basic,basic,any,bait_premium,25,,,,
13,basic,basic,any,bait_premium,45,,,,
14,basic,basic,any,bait_premium,65,,,,
15,basic,basic,any,bait_premium,90,,,,
16,rare_fire,rare,fire,bait_basic,0,,,,
17,rare_fire,rare,fire,bait_basic,25,,,,
18,rare_fire,rare,fire,bait_basic,45,,,,
19,rare_fire,rare,fire,bait_basic,65,,,,
20,rare_fire,rare,fire,bait_basic,90,,,,
21,rare_fire,rare,fire,bait_mid,0,,,,
22,rare_fire,rare,fire,bait_mid,25,,,,
23,rare_fire,rare,fire,bait_mid,45,,,,
24,rare_fire,rare,fire,bait_mid,65,,,,
25,rare_fire,rare,fire,bait_mid,90,,,,
26,rare_fire,rare,fire,bait_premium,0,,,,
27,rare_fire,rare,fire,bait_premium,25,,,,
28,rare_fire,rare,fire,bait_premium,45,,,,
29,rare_fire,rare,fire,bait_premium,65,,,,
30,rare_fire,rare,fire,bait_premium,90,,,,
31,rare_water,rare,water,bait_basic,0,,,,
32,rare_water,rare,water,bait_basic,25,,,,
33,rare_water,rare,water,bait_basic,45,,,,
34,rare_water,rare,water,bait_basic,65,,,,
35,rare_water,rare,water,bait_basic,90,,,,
36,rare_water,rare,water,bait_mid,0,,,,
37,rare_water,rare,water,bait_mid,25,,,,
38,rare_water,rare,water,bait_mid,45,,,,
39,rare_water,rare,water,bait_mid,65,,,,
40,rare_water,rare,water,bait_mid,90,,,,
41,rare_water,rare,water,bait_premium,0,,,,
42,rare_water,rare,water,bait_premium,25,,,,
43,rare_water,rare,water,bait_premium,45,,,,
44,rare_water,rare,water,bait_premium,65,,,,
45,rare_water,rare,water,bait_premium,90,,,,
46,rare_wind,rare,wind,bait_basic,0,,,,
47,rare_wind,rare,wind,bait_basic,25,,,,
48,rare_wind,rare,wind,bait_basic,45,,,,
49,rare_wind,rare,wind,bait_basic,65,,,,
50,rare_wind,rare,wind,bait_basic,90,,,,
51,rare_wind,rare,wind,bait_mid,0,,,,
52,rare_wind,rare,wind,bait_mid,25,,,,
53,rare_wind,rare,wind,bait_mid,45,,,,
54,rare_wind,rare,wind,bait_mid,65,,,,
55,rare_wind,rare,wind,bait_mid,90,,,,
56,rare_wind,rare,wind,bait_premium,0,,,,
57,rare_wind,rare,wind,bait_premium,25,,,,
58,rare_wind,rare,wind,bait_premium,45,,,,
59,rare_wind,rare,wind,bait_premium,65,,,,
60,rare_wind,rare,wind,bait_premium,90,,,,
61,rare_electric,rare,electric,bait_basic,0,,,,
62,rare_electric,rare,electric,bait_basic,25,,,,
63,rare_electric,rare,electric,bait_basic,45,,,,
64,rare_electric,rare,electric,bait_basic,65,,,,
65,rare_electric,rare,electric,bait_basic,90,,,,
66,rare_electric,rare,electric,bait_mid,0,,,,
67,rare_electric,rare,electric,bait_mid,25,,,,
68,rare_electric,rare,electric,bait_mid,45,,,,
69,rare_electric,rare,electric,bait_mid,65,,,,
70,rare_electric,rare,electric,bait_mid,90,,,,
71,rare_electric,rare,electric,bait_premium,0,,,,
72,rare_electric,rare,electric,bait_premium,25,,,,
73,rare_electric,rare,electric,bait_premium,45,,,,
74,rare_electric,rare,electric,bait_premium,65,,,,
75,rare_electric,rare,electric,bait_premium,90,,,,
76,rare_wildcard,rare,any,bait_basic,0,,,,
77,rare_wildcard,rare,any,bait_basic,25,,,,
78,rare_wildcard,rare,any,bait_basic,45,,,,
79,rare_wildcard,rare,any,bait_basic,65,,,,
80,rare_wildcard,rare,any,bait_basic,90,,,,
81,rare_wildcard,rare,any,bait_mid,0,,,,
82,rare_wildcard,rare,any,bait_mid,25,,,,
83,rare_wildcard,rare,any,bait_mid,45,,,,
84,rare_wildcard,rare,any,bait_mid,65,,,,
85,rare_wildcard,rare,any,bait_mid,90,,,,
86,rare_wildcard,rare,any,bait_premium,0,,,,
87,rare_wildcard,rare,any,bait_premium,25,,,,
88,rare_wildcard,rare,any,bait_premium,45,,,,
89,rare_wildcard,rare,any,bait_premium,65,,,,
90,rare_wildcard,rare,any,bait_premium,90,,,,
91,epic_fire,epic,fire,bait_basic,0,,,,
92,epic_fire,epic,fire,bait_basic,25,,,,
93,epic_fire,epic,fire,bait_basic,45,,,,
94,epic_fire,epic,fire,bait_basic,65,,,,
95,epic_fire,epic,fire,bait_basic,90,,,,
96,epic_fire,epic,fire,bait_mid,0,,,,
97,epic_fire,epic,fire,bait_mid,25,,,,
98,epic_fire,epic,fire,bait_mid,45,,,,
99,epic_fire,epic,fire,bait_mid,65,,,,
100,epic_fire,epic,fire,bait_mid,90,,,,
101,epic_fire,epic,fire,bait_premium,0,,,,
102,epic_fire,epic,fire,bait_premium,25,,,,
103,epic_fire,epic,fire,bait_premium,45,,,,
104,epic_fire,epic,fire,bait_premium,65,,,,
105,epic_fire,epic,fire,bait_premium,90,,,,
106,epic_water,epic,water,bait_basic,0,,,,
107,epic_water,epic,water,bait_basic,25,,,,
108,epic_water,epic,water,bait_basic,45,,,,
109,epic_water,epic,water,bait_basic,65,,,,
110,epic_water,epic,water,bait_basic,90,,,,
111,epic_water,epic,water,bait_mid,0,,,,
112,epic_water,epic,water,bait_mid,25,,,,
113,epic_water,epic,water,bait_mid,45,,,,
114,epic_water,epic,water,bait_mid,65,,,,
115,epic_water,epic,water,bait_mid,90,,,,
116,epic_water,epic,water,bait_premium,0,,,,
117,epic_water,epic,water,bait_premium,25,,,,
118,epic_water,epic,water,bait_premium,45,,,,
119,epic_water,epic,water,bait_premium,65,,,,
120,epic_water,epic,water,bait_premium,90,,,,
121,epic_wind,epic,wind,bait_basic,0,,,,
122,epic_wind,epic,wind,bait_basic,25,,,,
123,epic_wind,epic,wind,bait_basic,45,,,,
124,epic_wind,epic,wind,bait_basic,65,,,,
125,epic_wind,epic,wind,bait_basic,90,,,,
126,epic_wind,epic,wind,bait_mid,0,,,,
127,epic_wind,epic,wind,bait_mid,25,,,,
