creatureTypeId,displayName,rodRequired,poolTier,elementType,moduleId,lessonId,sub_tier,notes
puddle-dart,Puddle Dart,basic,common,fire,1,1.1,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
bubble-mote,Bubble Mote,basic,common,water,1,1.2,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
moss-skipper,Moss Skipper,basic,common,wind,1,1.3,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
spark-pebble,Spark Pebble,basic,common,electric,1,1.4,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
reed-tail,Reed Tail,basic,common,fire,1,1.5,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
cloud-fin,Cloud Fin,basic,common,water,1,1.6,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
hinge-glider,Hinge Glider,basic,common,wind,2,2.1,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
amber-ring,Amber Ring,basic,common,electric,2,2.2,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
shore-ghost,Shore Ghost,basic,common,fire,2,2.3,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
knot-swimmer,Knot Swimmer,basic,common,water,2,2.4,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
petal-dart,Petal Dart,basic,common,wind,2,2.5,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
chalk-line,Chalk Line,basic,common,electric,2,2.6,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
tide-pup,Tide Pup,basic,common,fire,2,2.7,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
mirror-leaf,Mirror Leaf,basic,common,water,2,2.8,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
blink-swimmer,Blink Swimmer,basic,common,wind,2,2.9,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
gilt-minnow,Gilt Minnow,basic,common,electric,3,3.1,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
rust-belly,Rust Belly,basic,common,fire,3,3.2,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
soft-arch,Soft Arch,basic,common,water,3,3.3,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
hollow-bell,Hollow Bell,basic,common,wind,3,3.4,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
coil-spark,Coil Spark,basic,common,electric,3,3.5,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
fog-glider,Fog Glider,basic,common,fire,3,3.6,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
pool-penny,Pool Penny,basic,common,water,3,3.7,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
wick-fin,Wick Fin,basic,common,wind,3,3.8,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
loop-drifter,Loop Drifter,basic,common,electric,3,3.9,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
bone-float,Bone Float,basic,common,fire,4,4.1,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
green-bead,Green Bead,basic,common,water,4,4.2,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
pine-needle,Pine Needle,basic,common,wind,4,4.3,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
faint-arc,Faint Arc,basic,common,electric,4,4.4,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
river-coin,River Coin,basic,common,fire,4,4.5,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
dusk-mote,Dusk Mote,basic,common,water,4,4.6,"uniform (basic pool, no sub-tier)",Basic pool is uniform-weight per Sheet C; sub-tier not applicable.
ember-darter,Ember Darter,rare1,rare,fire,1,1.1,common-rare,
cinder-veil,Cinder Veil,rare1,rare,fire,1,1.5,common-rare,
flare-scout,Flare Scout,rare1,rare,fire,1,1.6,common-rare,
hearthfin,Hearthfin,rare1,rare,fire,2,2.3,common-rare,
scorchtail,Scorchtail,rare1,rare,fire,2,2.6,common-rare,
soot-drifter,Soot Drifter,rare1,rare,fire,3,3.4,common-rare,
forge-wraith,Forge Wraith,rare1,rare,fire,3,3.6,mid-rare,
cinderback,Cinderback,rare1,rare,fire,3,3.9,mid-rare,
heatwave-glide,Heatwave Glide,rare1,rare,fire,4,4.1,mid-rare,
tinder-swift,Tinder Swift,rare1,rare,fire,4,4.3,mid-rare,
ashwing,Ashwing,rare1,rare,fire,4,4.4,mid-rare,
solstice-runner,Solstice Runner,rare1,rare,fire,5,5.1,top-rare,
blaze-tender,Blaze Tender,rare1,rare,fire,5,5.3,top-rare,
coal-sentinel,Coal Sentinel,rare1,rare,fire,5,5.5,top-rare,
tide-whisper,Tide Whisper,rare2,rare,water,1,1.3,common-rare,
mirror-minnow,Mirror Minnow,rare2,rare,water,1,1.4,common-rare,
current-guide,Current Guide,rare2,rare,water,2,2.3,common-rare,
still-pool,Still Pool,rare2,rare,water,2,2.5,common-rare,
flow-keeper,Flow Keeper,rare2,rare,water,2,2.7,common-rare,
ripple-sage,Ripple Sage,rare2,rare,water,3,3.7,mid-rare,
deep-current,Deep Current,rare2,rare,water,3,3.8,mid-rare,
pool-weaver,Pool Weaver,rare2,rare,water,3,3.9,mid-rare,
heron-blue,Heron Blue,rare2,rare,water,3,4.2,common-rare,
glassfin,Glassfin,rare2,rare,water,4,4.5,mid-rare,
spring-mouth,Spring Mouth,rare2,rare,water,5,5.1,mid-rare,
