filename,moment,trigger_in_app,duration_sec,loop,volume_0_to_1,notes
cast-splash.mp3,Cast line hits water,createCast success → CastingScreen,,no,0.6,
pond-waiting-ambient.mp3,Waiting for bite,CastingScreen idle loop,120,yes,0.15,
claim-catch.mp3,New creature caught,claimCast outcome catch,,no,0.5,
claim-duplicate.mp3,Duplicate creature,claimCast outcome duplicate,,no,0.45,
claim-miss-chance.mp3,Chance miss,claimCast miss (not wonder_gate),,no,0.4,
claim-miss-wonder-gate.mp3,Wonder gate miss,claimCast miss reason wonder_gate,,no,0.35,
craft-begin.mp3,Craft started,startCraft success,,no,0.5,
craft-ready.mp3,Rod ready to collect,collectCraft success,,no,0.5,
craft-equip.mp3,Rod equipped,equipRod success,,no,0.5,
sanctuary-theme.mp3,First sanctuary reveal,CurtainLift startReveal (once per uid),45,yes,0.25,One-time loop on first curtain-lift reveal only
closing-the-journal.mp3,Reflection complete,DiaryRitualFlow closure / DiaryEntryScreen save,10,no,0.3,One-shot wind-down; no loop
evening-pond.mp3,Diary ritual ambient,DiaryRitualFlow arrival + closure,120,yes,0.18,Loop; closure step uses 0.12 in hook
diary-ritual-middle-steps.mp3,Diary ritual middle steps,DiaryRitualFlow middle steps (not arrival/closure),,yes,0.15,Loop; fade in/out handoff with evening-pond
gate-unlock.mp4,Cold gate key unlock,app/index.tsx handleKeyTap,,no,0.85,One-shot; respects iOS silent switch
gate-ambient (recycled),Signed-out gate idle,app/index.tsx useGateAmbientSound,,yes,0.07,Recycles evening-pond.mp3
auth-welcome (recycled),Login/signup success,SignInArrivalContext startVideo + signup success,,no,0.25,Recycles journal/open-book.mp3
auth-soft-deny (recycled),Auth form errors,login/signup useAuthSoftDenyOnError,,no,0.2,Recycles fishing/claim-miss-wonder-gate.mp3
profile-planted (recycled),Child profile seal,CreateChildProfileScreen SEAL_SUCCESS,,no,0.3,Recycles closing-the-journal.mp3
click-paper-1.mp3,UI paper click (variant 1),playPaperClick round-robin,,no,0.18,3-variant rotation with click-paper-2/3
click-paper-2.mp3,UI paper click (variant 2),playPaperClick round-robin,,no,0.18,Round-robin with click-paper-1/3
click-paper-3.mp3,UI paper click (variant 3),playPaperClick round-robin,,no,0.18,Round-robin with click-paper-1/2
